name,shipping_price,price
Santa Damiana Classic Corona Glas-Tube 10er Kiste,0.00,73.78
Santa Damiana Classic Minutos,100.00,2.62
Santa Damiana Classic Minutos 20er Kiste,0.00,52.36
Santa Damiana Classic Panetela,100.00,5.12
Santa Damiana Classic Panetela 25er Kiste,0.00,127.93
Santa Damiana Classic Perlas,100.00,3.81
Santa Damiana Classic Perlas 20er Kiste,0.00,76.16
Santa Damiana Classic Petit Corona,100.00,5.24
Santa Damiana Classic Petit Corona 25er Kiste,0.00,130.90
Santa Damiana Classic Short Robusto,100.00,6.19
Santa Damiana Classic Short Robusto 25er Kiste,0.00,154.70
Santa Damiana Classic Tubulares Extra,100.00,7.85
Santa Damiana Classic Tubulares Extra 25er Kiste,0.00,196.35
Santa Damiana Selección Especial Churchill,100.00,9.16
Santa Damiana Selección Especial Churchill 10er Kiste,0.00,91.63
Santa Damiana Selección Especial Corona,100.00,7.74
Santa Damiana Selección Especial Corona 10er Kiste,0.00,77.35
Santa Damiana Selección Especial Panetela,100.00,7.02
Santa Damiana Selección Especial Panetela 10er Kiste,0.00,70.21
Santa Damiana Selección Especial Robusto,100.00,8.45
Santa Damiana Selección Especial Robusto 10er Kiste,0.00,84.49
Santa Damiana Selección Especial Torpedo,100.00,9.16
Santa Damiana Selección Especial Torpedo 10er Kiste,0.00,91.63
Santa Damiana Vintage Maduro Corona Glas-Tube,100.00,8.57
Santa Damiana Vintage Maduro Corona Glas-Tube 12er Kiste,0.00,102.82
Santa Damiana Vintage Maduro Mini Belicoso,100.00,8.81
Santa Damiana Vintage Maduro Mini Belicoso 10er Kiste,0.00,88.06
Santa Damiana Vintage Maduro Robusto,100.00,8.09
Santa Damiana Vintage Maduro Robusto 10er Kiste,0.00,80.92
